method,path,code,size,latency
POST,"/doc/0","200",138,11.820
PUT,"/doc/1","200",265,7.869
PUT,"/doc/1","200",265,14.532
PUT,"/doc/1","200",265,7.126
PUT,"/doc/1","200",265,5.879
PUT,"/doc/1","200",265,6.227
PUT,"/doc/1","200",265,8.146
PUT,"/doc/1","200",265,7.619
POST,"/doc/304","200",163,64.786
POST,"/doc/305","200",163,45.108
POST,"/doc/306","200",163,84.220
POST,"/doc/117","200",163,17.335
PUT,"/doc/1","200",265,8.926
GET,"/doc/3","200",4047,0.481
GET,"/doc/4","200",795,0.078
GET,"/doc/3","200",4047,0.349
GET,"/doc/4","200",795,0.073
GET,"/doc/301","200",15725,0.734
GET,"/doc/3","200",4047,0.360
GET,"/doc/4","200",795,0.076
PUT,"/doc/1","200",267,55.221
PUT,"/doc/1","200",265,16.180
POST,"/doc/302","200",163,32.327
